tenta = 0     247 50 4 1 4 8 8 10 |0| 78.2% | poid actuel :400.4  | max :512.0 | SN/ECHEC
tenta = 0     295 50 4 1 10 10 10 10 |0| 89.84% | poid actuel :460.0  | max :512.0 SN/ECHE
tenta = 0     295 49 4 1 10 10 10 10 |0| 91.41% | poid actuel :468.0  | max :512.0 SC
#déjà noter
 tenta = 1     296 48 4 1 10 10 10 10 |tenta_po =1 |0| 89.1% | poid actuel :456.2  | max :512.0 | SN/ECHEC 
tenta = 10     296 49 4 1 10 10 10 10 |tenta_po =32 |0| 89.49% | poid actuel :458.2  | max :512.0 | SN/ECHEC 
tenta = 10     199 46 4 1 10 10 10 5 |tenta_po =33 |0| 78.67% | poid actuel :402.8  | max :512.0 |SC 
tenta = 12     295 49 4 1 10 9 9 10 |tenta_po =34 |0| 87.5% | poid actuel :448.0  | max :512.0 |SC 
tenta = 13     295 47 0 1 3 10 10 9 |tenta_po =35 |0| 72.85% | poid actuel :373.0  | max :512.0 |SC 
tenta = 13     297 50 4 1 10 10 10 10 |tenta_po =36 |0| 89.92% | poid actuel :460.4  | max :512.0 | SN/ECHEC 
tenta = 14     300 47 4 1 7 9 7 10 |tenta_po =37 |0| 82.03% | poid actuel :420.0  | max :512.0 |SC 
tenta = 14     296 48 4 1 10 10 9 10 |tenta_po =38 |0| 88.12% | poid actuel :451.2  | max :512.0 | SN/ECHEC 
tenta = 14     299 46 4 1 8 8 9 10 |tenta_po =39 |0| 83.55% | poid actuel :427.8  | max :512.0 | SN/ECHEC 
tenta = 14     299 48 4 1 10 10 10 10 |tenta_po =40 |0| 89.22% | poid actuel :456.8  | max :512.0 | SN/ECHEC 
tenta = 14     299 48 4 1 10 7 10 5 |tenta_po =41 |0| 80.43% | poid actuel :411.8  | max :512.0 | SN/ECHEC 
tenta = 14     295 50 4 1 10 9 9 10 |tenta_po =42 |0| 87.89% | poid actuel :450.0  | max :512.0 |SC 
tenta = 18     297 50 4 1 8 8 7 9 |tenta_po =43 |0| 81.91% | poid actuel :419.4  | max :512.0 | SN/ECHEC 
tenta = 18     297 49 4 1 8 8 7 9 |tenta_po =44 |0| 81.52% | poid actuel :417.4  | max :512.0 | SN/ECHEC 
tenta = 18     295 49 4 1 6 8 8 8 |tenta_po =45 |0| 79.3% | poid actuel :406.0  | max :512.0 | SN/ECHEC 
tenta = 18     295 47 4 1 9 8 7 10 |tenta_po =46 |0| 82.81% | poid actuel :424.0  | max :512.0 | SN/ECHEC 
tenta = 18     299 47 4 1 9 9 8 10 |tenta_po =47 |0| 84.92% | poid actuel :434.8  | max :512.0 | SN/ECHEC 
tenta = 19     300 48 4 1 0 5 9 10 |tenta_po =48 |0| 73.63% | poid actuel :377.0  | max :512.0 | SN/ECHEC 
tenta = 20     288 47 3 1 8 7 7 10 |tenta_po =49 |0| 78.63% | poid actuel :402.6  | max :512.0 | SN/ECHEC 
tenta = 21     295 47 4 1 6 7 7 7 |tenta_po =50 |0| 75.39% | poid actuel :386.0  | max :512.0 | SN/ECHEC 
tenta = 21     296 48 4 1 9 8 7 7 |tenta_po =51 |0| 79.73% | poid actuel :408.2  | max :512.0 |SC 
tenta = 21     292 47 4 1 9 8 7 10 |tenta_po =52 |0| 82.7% | poid actuel :423.4  | max :512.0 | SN/ECHEC 
tenta = 21     292 47 3 1 9 8 7 10 |tenta_po =53 |0| 80.74% | poid actuel :413.4  | max :512.0 | SN/ECHEC 
tenta = 0     300 49 4 1 10 10 10 10 |tenta_po =1 |0| 89.65% | poid actuel :459.0  | max :512.0 | SN/ECHEC 
tenta = 0     180 41 4 1 10 8 10 10 |tenta_po =2 |0| 79.88% | poid actuel :409.0  | max :512.0 | SN/ECHEC 
tenta = 0     299 48 4 1 10 10 9 10 |tenta_po =3 |0| 88.24% | poid actuel :451.8  | max :512.0 | SN/ECHEC 
tenta = 0     296 48 4 1 10 10 10 10 |tenta_po =4 |0| 89.1% | poid actuel :456.2  | max :512.0 | SN/ECHEC 
tenta = 0     298 50 4 1 10 10 9 10 |tenta_po =5 |0| 88.98% | poid actuel :455.6  | max :512.0 | SN/ECHEC 
tenta = 0     297 49 4 1 10 10 10 10 |tenta_po =6 |0| 89.53% | poid actuel :458.4  | max :512.0 | SN/ECHEC 
tenta = 0     299 48 4 1 10 10 10 10 |tenta_po =7 |0| 89.22% | poid actuel :456.8  | max :512.0 | SN/ECHEC 
tenta = 0     299 48 3 1 10 10 10 4 |tenta_po =8 |0| 80.23% | poid actuel :410.8  | max :512.0 |SC 
tenta = 0     300 48 4 1 10 10 10 10 |tenta_po =9 |0| 89.26% | poid actuel :457.0  | max :512.0 | SN/ECHEC 
tenta = 0     300 48 1 1 10 7 10 10 |tenta_po =10 |0| 80.47% | poid actuel :412.0  | max :512.0 | SN/ECHEC 
tenta = 0     296 48 4 1 10 10 10 10 |tenta_po =11 |0| 89.1% | poid actuel :456.2  | max :512.0 | SN/ECHEC 
tenta = 0     264 40 4 1 10 9 10 7 |tenta_po =12 |0| 80.23% | poid actuel :410.8  | max :512.0 |SC 
tenta = 0     299 47 4 1 9 9 9 10 |tenta_po =13 |0| 85.9% | poid actuel :439.8  | max :512.0 | SN/ECHEC 

 tenta = 1     294 50 4 1 10 9 9 10 |tenta_po =14 |0| 87.85% | poid actuel :449.8  | max :512.0 |SC 
tenta = 2     140 50 4 1 10 9 8 9 |tenta_po =15 |0| 79.69% | poid actuel :408.0  | max :512.0 | SN/ECHEC 
tenta = 2     140 43 4 1 10 2 8 9 |tenta_po =16 |0| 70.12% | poid actuel :359.0  | max :512.0 |SC 
tenta = 0     296 46 4 1 9 9 9 10 |tenta_po =1 |0| 85.39% | poid actuel :437.2  | max :512.0 | SN/ECHEC 
tenta = 0     296 39 1 1 9 9 9 9 |tenta_po =2 |0| 75.62% | poid actuel :387.2  | max :512.0 |SC 
tenta = 0     296 49 4 1 8 8 7 10 |tenta_po =3 |0| 82.66% | poid actuel :423.2  | max :512.0 | SN/ECHEC 

 tenta = 1     267 45 4 1 6 7 7 7 |tenta_po =4 |0| 73.52% | poid actuel :376.4  | max :512.0 |SC 
tenta = 2     297 48 4 1 5 9 9 8 |tenta_po =5 |0| 79.96% | poid actuel :409.4  | max :512.0 |SC 
tenta = 2     296 49 4 1 10 10 9 10 |tenta_po =6 |0| 88.52% | poid actuel :453.2  | max :512.0 | SN/ECHEC 
tenta = 2     296 49 4 1 10 10 3 8 |tenta_po =7 |0| 80.31% | poid actuel :411.2  | max :512.0 |SC 
tenta = 0     299 43 4 1 10 10 10 3 |tenta_po =1 |0| 79.06% | poid actuel :404.8  | max :512.0 | SN/ECHEC 

 tenta = 1     248 48 4 1 8 9 9 10 |tenta_po =2 |0| 83.32% | poid actuel :426.6  | max :512.0 | SN/ECHEC 

 tenta = 1     299 49 4 1 10 10 10 10 |tenta_po =3 |0| 89.61% | poid actuel :458.8  | max :512.0 | SN/ECHEC 

 tenta = 1     299 43 1 1 10 10 10 9 |tenta_po =4 |0| 80.23% | poid actuel :410.8  | max :512.0 | SN/ECHEC 
tenta = 2     294 46 4 1 9 5 8 10 |tenta_po =5 |0| 80.43% | poid actuel :411.8  | max :512.0 |SC 
tenta = 3     218 46 4 1 9 4 9 10 |tenta_po =6 |0| 77.46% | poid actuel :396.6  | max :512.0 |SC 
tenta = 3     297 46 4 1 8 6 5 10 |tenta_po =7 |0| 77.62% | poid actuel :397.4  | max :512.0 | SN/ECHEC 
tenta = 3     297 49 4 1 10 9 9 10 |tenta_po =8 |0| 87.58% | poid actuel :448.4  | max :512.0 | SN/ECHEC 
tenta = 3     300 49 4 1 10 10 10 10 |tenta_po =9 |0| 89.65% | poid actuel :459.0  | max :512.0 | SN/ECHEC 
tenta = 3     295 49 4 1 10 10 10 10 |tenta_po =10 |0| 89.45% | poid actuel :458.0  | max :512.0 |SC 
tenta = 5     295 39 1 1 9 9 9 10 |tenta_po =11 |0| 76.76% | poid actuel :393.0  | max :512.0 | SN/ECHEC 
tenta = 6     300 46 3 1 5 9 7 10 |tenta_po =12 |0| 77.73% | poid actuel :398.0  | max :512.0 |SC 
tenta = 6     283 48 4 1 9 8 8 9 |tenta_po =13 |0| 82.54% | poid actuel :422.6  | max :512.0 | SN/ECHEC 
tenta = 6     295 47 4 1 9 9 9 10 |tenta_po =14 |0| 85.74% | poid actuel :439.0  | max :512.0 | SN/ECHEC 
tenta = 6     295 47 4 1 9 9 8 10 |tenta_po =15 |0| 84.77% | poid actuel :434.0  | max :512.0 |SC 
tenta = 7     61 46 2 1 7 9 9 10 |tenta_po =16 |0| 70.35% | poid actuel :360.2  | max :512.0 |SC 
tenta = 7     296 46 4 1 7 9 9 10 |tenta_po =17 |0| 83.44% | poid actuel :427.2  | max :512.0 |SC 
tenta = 8     281 46 3 1 9 8 7 10 |tenta_po =18 |0| 79.92% | poid actuel :409.2  | max :512.0 | SN/ECHEC 
tenta = 10     267 40 4 1 8 8 9 8 |tenta_po =19 |0| 77.62% | poid actuel :397.4  | max :512.0 |SC 
tenta = 10     277 46 4 1 9 7 8 8 |tenta_po =20 |0| 79.38% | poid actuel :406.4  | max :512.0 |SC 
tenta = 10     292 45 4 1 7 7 8 8 |tenta_po =21 |0| 77.62% | poid actuel :397.4  | max :512.0 | SN/ECHEC 
tenta = 11     127 48 3 1 9 9 9 10 |tenta_po =22 |0| 77.62% | poid actuel :397.4  | max :512.0 | SN/ECHEC 
tenta = 11     296 47 4 1 9 8 6 10 |tenta_po =23 |0| 81.88% | poid actuel :419.2  | max :512.0 |SC 
tenta = 12     296 47 4 1 9 7 9 10 |tenta_po =24 |0| 83.83% | poid actuel :429.2  | max :512.0 | SN/ECHEC 
tenta = 12     248 47 3 1 9 8 9 10 |tenta_po =25 |0| 80.98% | poid actuel :414.6  | max :512.0 |SC 
tenta = 13     288 46 4 1 9 8 7 10 |tenta_po =26 |0| 82.15% | poid actuel :420.6  | max :512.0 | SN/ECHEC 
tenta = 15     94 46 4 1 9 9 9 10 |tenta_po =27 |0| 77.5% | poid actuel :396.8  | max :512.0 | SN/ECHEC 
tenta = 15     289 46 4 1 9 5 9 7 |tenta_po =28 |0| 77.7% | poid actuel :397.8  | max :512.0 | SN/ECHEC 
tenta = 15     297 43 4 1 8 6 9 10 |tenta_po =29 |0| 80.35% | poid actuel :411.4  | max :512.0 |SC 
tenta = 16     249 46 4 1 6 8 9 10 |tenta_po =30 |0| 79.65% | poid actuel :407.8  | max :512.0 |SC 
tenta = 17     299 46 4 1 5 3 9 7 |tenta_po =31 |0| 72.23% | poid actuel :369.8  | max :512.0 |SC 
tenta = 19     283 46 4 1 6 8 6 10 |tenta_po =32 |0| 78.05% | poid actuel :399.6  | max :512.0 | SN/ECHEC 
tenta = 19     267 47 4 1 6 8 6 9 |tenta_po =33 |0| 76.64% | poid actuel :392.4  | max :512.0 | SN/ECHEC 
tenta = 21     192 47 4 1 9 9 5 10 |tenta_po =34 |0| 77.81% | poid actuel :398.4  | max :512.0 | SN/ECHEC 
tenta = 21     299 47 4 1 8 7 5 10 |tenta_po =35 |0| 79.06% | poid actuel :404.8  | max :512.0 | SN/ECHEC 
tenta = 23     298 47 4 1 4 9 1 10 |tenta_po =36 |0| 73.16% | poid actuel :374.6  | max :512.0 | SN/ECHEC 
tenta = 23     298 46 4 1 8 8 8 8 |tenta_po =37 |0| 80.2% | poid actuel :410.6  | max :512.0 | SN/ECHEC 
tenta = 23     294 45 4 1 8 6 6 10 |tenta_po =38 |0| 78.09% | poid actuel :399.8  | max :512.0 |SC 
tenta = 24     219 48 4 1 0 9 9 10 |tenta_po =39 |0| 74.38% | poid actuel :380.8  | max :512.0 | SN/ECHEC 
tenta = 24     249 48 3 1 6 8 8 10 |tenta_po =40 |0| 77.5% | poid actuel :396.8  | max :512.0 | SN/ECHEC 
